canonical_name,total_mentions,document_count,tiers_present,profiles_present,parent_headers
Chiropractic office visits,14,14,2,ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
"Physical medicine that is part of a treatment plan prepared by your chiropractor. The plan must be signed by your M.D. or D.O. before you receive physical medicine services for those services to be covered. If a treatment plan is not signed by your M.D. or D.O. before services are rendered, the services will not be covered and you may have to pay for them.",14,14,2,ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
"Mechanical traction once per day when it is given with CSM or CM. These visits are applied toward your combined 30-visit limit for rehabilitative physical medicine, physical and occupational therapy services.",14,14,2,ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
X-rays when medically necessary.,14,14,2,ppo_medical,Chiropractic Services and Osteopathic Manipulative Therapy
Chronic disease management services provided by,14,14,2,ppo_medical,Chronic Disease Management
Clinical Trials (Routine Patient Costs),14,14,1,ppo_medical,
All routine services covered under this certificate and related riders that would be covered even if the member were not enrolled in an approved clinical trial,14,14,2,ppo_medical,Clinical Trials (Routine Patient Costs)
"The experimental or investigational item, device or service",14,14,2,ppo_medical,Clinical Trials (Routine Patient Costs)
Use of transition technologies as a routine service in an approved clinical trial such as cellular or gene therapies that have not been FDA approved for those indications,14,14,2,ppo_medical,Clinical Trials (Routine Patient Costs)
Routine patient costs for Phase I clinical trials whose primary purpose is not for therapeutic intent,14,14,2,ppo_medical,Clinical Trials (Routine Patient Costs)
"Items and services provided solely to satisfy data collection and analysis needs and that are not used in the direct clinical management of the trial participant, or",14,14,2,ppo_medical,Clinical Trials (Routine Patient Costs)
A service that is clearly inconsistent with widely accepted and established standards of care for a particular diagnosis.,14,14,2,ppo_medical,Clinical Trials (Routine Patient Costs)
Collaborative Care Management,14,14,1,ppo_medical,
Telephone or face-to-face contact and group interventions,14,14,2,ppo_medical,Collaborative Care Management
Services performed by providers who are not designated as CoCare providers,14,14,2,ppo_medical,Collaborative Care Management
Emergency Dental Care,14,14,2,ppo_medical,Dental Services
Dental Services in a Participating Hospital,14,14,2,ppo_medical,Dental Services
We will pay for dental treatment for a member in a participating hospital if the treatment helps improve the medical condition that put the member in the hospital. The dental condition must be hindering improvement of the medical condition.,14,14,2,ppo_medical,Dental Services
We may pay for facility and anesthesia services for a member in a participating hospital if dental treatment would be unsafe in an office setting.,14,14,2,ppo_medical,Dental Services
Multiple extractions or removal of unerupted teeth,14,14,2,ppo_medical,Dental Services
Other Dental Services,14,14,2,ppo_medical,Dental Services
Surgery directly to the temporomandibular joint (jaw joint) and related anesthesia services,14,14,2,ppo_medical,Dental Services
Arthrocentesis performed for the treatment of temporomandibular joint (jaw joint) dysfunction),14,14,2,ppo_medical,Dental Services
Reversible appliance therapy (mandibular orthotic repositioning device such as a bite splint),14,14,2,ppo_medical,Dental Services
Routine dental services,14,14,2,ppo_medical,Dental Services
Treatment that was previously paid as a result of an accident,14,14,2,ppo_medical,Dental Services
Services covered under any other health plan,14,14,2,ppo_medical,Dental Services
"Dental implants and related services, including repair and maintenance of implants and surrounding tissue",14,14,2,ppo_medical,Dental Services
Dental conditions existing before an accident requiring emergency dental treatment,14,14,2,ppo_medical,Dental Services
Services to treat temporomandibular joint dysfunction (except as described above),14,14,2,ppo_medical,Dental Services
Physician services are payable for tests such as,14,14,2,ppo_medical,Diagnostic Services
Physician and independent physical therapist services are payable for the following tests,14,14,2,ppo_medical,Diagnostic Services
In a participating hospital (under the direction of a pathologist employed by the hospital) or,14,14,2,ppo_medical,Diagnostic Services
