canonical_name,total_mentions,document_count,tiers_present,profiles_present,parent_headers
Routine Laboratory Services,11,11,2,ppo_medical,Preventive Care Services
"Contraceptive Devices Injections, and Implants",11,11,2,ppo_medical,Preventive Care Services
X-rays,11,11,2,ppo_medical,Radiology Services
Radioactive isotope studies and use of radium,11,11,2,ppo_medical,Radiology Services
Ultrasound,11,11,2,ppo_medical,Radiology Services
Computerized axial tomography (CAT) scans,11,11,2,ppo_medical,Radiology Services
Magnetic resonance imaging (MRI),11,11,2,ppo_medical,Radiology Services
Positron emission tomography (PET) scans,11,11,2,ppo_medical,Radiology Services
Medically necessary mammography,11,11,2,ppo_medical,Radiology Services
Blood tests on first degree relatives to evaluate them as donors,11,11,2,ppo_medical,Transplant Services
Allogeneic (Allogenic) Transplant,11,11,3,ppo_medical,
Contracted Area Hospital,11,11,3,ppo_medical,
Certified to receive Medicare or Medicaid reimbursement or,11,11,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Certified by the Michigan Department of Community Health,11,11,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Covered services and devices for pain management,11,11,2,ppo_medical,Pain Management
Administered by the physician or under the physician’s supervision.,11,11,2,ppo_medical,Prescription Drugs
Coordination of Benefits,10,10,3,"dental,ppo_medical,vision",
More than 30 visits a year for combined outpatient cardiac and pulmonary rehabilitation services,10,10,2,ppo_medical,Cardiac Rehabilitation
Services in a participating LTACH that we would pay for in a participating hospital.,10,10,2,ppo_medical,Long-Term Acute Care Hospital Services
"Prenatal care , including maternity education provided in a physician’s office as part of a pre - natal visit",10,10,2,ppo_medical,Maternity Care
Payment for non-covered drugs or services.,10,4,2,ppo_medical,Prescription Drugs
Routine Pap Smear,10,10,2,ppo_medical,Preventive Care Services
Screening Mammography,10,10,2,ppo_medical,Preventive Care Services
We follow PPACA guidelines consistent with the HRSA- Supported Women’s Preventive,10,10,2,ppo_medical,Preventive Care Services
Well-Baby and Well-Child Visits,10,10,2,ppo_medical,Preventive Care Services
"For a member with a BMI of 30 or above, we pay for 26 visits per member per calendar year.",10,10,2,ppo_medical,Preventive Care Services
"Radiology services performed on equipment owned by, and performed on the premises of, the facility that are necessary to enhance the surgical service",10,10,2,ppo_medical,Surgery
"Consultations, Inpatient or Outpatient",10,10,3,ppo_medical,Contraceptive Services | Preventive Care Services
Conventional Treatment,10,10,3,ppo_medical,
A physician who orders and supervises anesthesiology services,10,10,2,ppo_medical,Anesthesiology Services
A certified registered nurse anesthetist (CRNA),10,10,2,ppo_medical,Anesthesiology Services
Autism spectrum disorder services including applied behavior analysis (ABA) is covered subject to the following requirements,10,10,2,ppo_medical,Autism Spectrum Disorders
Continuous cycling peritoneal dialysis (limited to 14 dialysis treatments per month) and self- dialysis training with the number of training sessions limited according to Medicare guidelines,10,10,2,ppo_medical,Dialysis Services
The member's family cannot provide the services and the home health care agency has identified a need for these services for the member to participate in the program,10,10,2,ppo_medical,Home Health Care Services
The services are provided by a home health aide and supervised by a registered nurse employed by the agency,10,10,2,ppo_medical,Home Health Care Services
A participating hospice inpatient unit,10,10,2,ppo_medical,Hospice Care Services
A participating hospital contracting with the hospice program or,10,10,2,ppo_medical,Hospice Care Services
A participating skilled nursing facility contracting with the hospice program,10,10,2,ppo_medical,Hospice Care Services
Payment for noncovered specialty drugs or services,10,7,2,ppo_medical,Prescription Drugs
A retail health clinic visit,9,9,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
A virtual primary care visit through the Blue Cross selected vendor app,9,9,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
An office consultation,9,9,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
A pre-surgical consultation,9,9,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
A medical evaluation at an affiliated immunization pharmacy,9,9,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
"Evaluations or tests, including the Autism Diagnostic Observation Schedule",9,9,2,ppo_medical,Autism Spectrum Disorders
"To avoid out-of-network cost share, obtain your prescribed durable medical equipment, prosthetics, orthotics, and medical supplies from an in-network provider. Contact Customer",9,9,2,ppo_medical,Durable Medical Equipment
Transplants or related services rendered at a nondesignated cancer center or its affiliate,9,9,2,ppo_medical,Oncology Clinical Trials
Billed by a contracted specialty pharmacy provider and administered by a physician.,9,9,2,ppo_medical,Prescription Drugs
"One per member, per calendar year to detect blood in the feces or stool",9,8,2,ppo_medical,Preventive Care Services
Housekeeping items and services,9,9,2,ppo_medical,Surgery
Transplant surgery and related services performed in a non-designated facility,9,9,2,ppo_medical,Transplant Services
Autism Behavioral Health Treatment,9,9,3,ppo_medical,
Autism Diagnostic Observation Schedule,9,9,3,ppo_medical,
Chemotherapy for Bone Marrow Transplants,9,9,3,ppo_medical,Transplant Services
Chemotherapy for Oncology Clinical Trials,9,9,3,ppo_medical,Oncology Clinical Trials
Chemotherapy Infusion Pumps,9,9,3,ppo_medical,Cardiac Rehabilitation
Continuous Positive Airway Pressure (CPAP),9,9,3,ppo_medical,Durable Medical Equipment
Coordination Period,9,9,3,ppo_medical,
A physician other than the operating physician,9,9,2,ppo_medical,Anesthesiology Services
Medical care by hospital personnel while you are receiving inpatient services,9,9,2,ppo_medical,Hospital Services
Semiprivate room,9,9,2,ppo_medical,Hospital Services
Nursing services,9,9,2,ppo_medical,Hospital Services
"Meals, including special diets",9,9,2,ppo_medical,Hospital Services
"Services provided in a special care unit, such as intensive care",9,9,2,ppo_medical,Hospital Services
Oxygen and other therapeutic gases and their administration,9,9,2,ppo_medical,Hospital Services
Inhalation therapy,9,9,2,ppo_medical,Hospital Services
Electroconvulsive Treatment (ECT),9,9,2,ppo_medical,Hospital Services
Pulmonary function evaluation,9,9,2,ppo_medical,Hospital Services
"Whole blood, blood derivatives, blood plasma or packed red blood cells, supplies and their administration",9,9,2,ppo_medical,Hospital Services
Hyperbaric oxygenation (therapy given in a pressure chamber),9,9,2,ppo_medical,Hospital Services
"One exam per member, per calendar year",9,9,2,ppo_medical,Preventive Care Services
"Harvesting (including peripheral blood stem cell pheresis) and storage of the donor’s bone marrow, peripheral blood stem cell and/or umbilical cord blood, if the donor is",9,9,2,ppo_medical,Transplant Services
Therapy that is performed without a physical therapy treatment plan,9,9,2,ppo_medical,Physical Therapy
Alveoplasty,9,9,3,ppo_medical,Speech Language Therapy | Surgery
Frequency,8,4,"1,3",vision,Frequency
Eye Exam,8,4,"1,3",vision,Frequency
Biomicroscopic evaluation,8,4,"2,3",vision,Contact Lenses | Frames | Lenses
Fluorescein evaluation,8,4,"2,3",vision,Contact Lenses | Frames | Lenses
Cornea evaluation,8,4,"2,3",vision,Contact Lenses | Frames | Lenses
Lens tolerance tests,8,4,"2,3",vision,Contact Lenses | Frames | Lenses
Psychiatric care – It includes a p sychiatrist’s direct or consulting services. The psychiatrist must be licensed in the state of practice.,8,8,2,ppo_medical,Autism Spectrum Disorders
"Drugs, biologicals and solutions, including drugs taken home",8,8,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
By a lab at your in- network physician’s direction.,8,8,2,ppo_medical,Diagnostic Services
Newborn examination given by a physician other than the anesthesiologist or the birth parent’s attending physician,8,8,2,ppo_medical,Maternity Care
"One per member, per calendar year, when prescribed by a physician",8,8,2,ppo_medical,Preventive Care Services
One per member per calendar year to screen for breast cancer,8,8,2,ppo_medical,Preventive Care Services
Subsequent medically necessary mammographies performed during the same calendar year by an in-network or out-of-network provider are subject to your deductible and coinsurance requirements.,8,8,2,ppo_medical,Preventive Care Services
"One screening colonoscopy once per member per calendar year, when performed by an in- network provider. This service is not subject to any deductible, coinsurance or copayment requirements.",8,8,2,ppo_medical,Preventive Care Services
Allogeneic Oncology Clinical Trials,8,8,3,ppo_medical,Oncology Clinical Trials
Autism Benefit Maximums,8,8,3,ppo_medical,Autism Spectrum Disorders
Autism Covered Services,8,8,3,ppo_medical,Audiologist Services
Autism Limitations and Exclusions,8,8,3,ppo_medical,Autism Spectrum Disorders
Prior Authorization,8,8,3,ppo_medical,Prescription Drugs
Controlled Substances,8,8,3,ppo_medical,
Medically necessary and appropriate,8,8,2,ppo_medical,Autism Spectrum Disorders
Comprehensive and focused on managing and improving the symptoms directly related to a member’s autism spectrum disorder,8,8,2,ppo_medical,Autism Spectrum Disorders
Deemed safe and effective by BCBSM,8,8,2,ppo_medical,Autism Spectrum Disorders
"Inpatient and Outpatient Consultations: If a physician needs help diagnosing or treating a member’s condition, we pay for inpatient and outpatient consultations. They must be provided by a professional provider who has the skills or knowledge needed for the consultations.",8,8,2,ppo_medical,Professional Services
Aphakic,7,4,"2,3",vision,Eye Exam | Lenses
Lenticular aphakic,7,4,"2,3",vision,Eye Exam | Lenses
"A primary care physician office, home, online, virtual or outpatient visit",7,7,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
"A mental health or substance use disorder visit (office, virtual or online visit)",7,7,2,"csr_rider,ppo_medical",BCBSM PPO In-Network Providers | Copayment Requirements
Chemotherapeutic drugs.,7,7,2,ppo_medical,Oncology Clinical Trials
"If you need another colonoscopy in the same calendar year, you will have to pay your deductible and coinsurance. It can be done by an in-network or out-of-network provider.",7,7,2,ppo_medical,Preventive Care Services
"Chemotherapeutic drugs. If Michigan law requires it, we cover these drugs and the reasonable cost of giving them.",7,7,2,ppo_medical,Oncology Clinical Trials
"Elective abortion (also known as termination of pregnancy) - Services, devices, drugs or other substances for which federal funding is not available, no matter the location.",7,7,2,ppo_medical,Prescription Drugs
"Prescription drug services for the treatment of gender dysphoria that are considered by BCBSM to be cosmetic, or prescription drug treatment that is experimental or investigational.",7,7,2,ppo_medical,Prescription Drugs
A licensed behavior analyst (LBA),7,7,2,ppo_medical,Autism Spectrum Disorders
The provider must request and receive preapproval for inpatient services,7,7,2,ppo_medical,Long-Term Acute Care Hospital Services
Blood tests to evaluate donors (if not covered by t he potential donor’s insurance),7,7,2,ppo_medical,Oncology Clinical Trials
Lid evaluation,6,4,"2,3",vision,Contact Lenses | Frames | Lenses
Assignment,6,6,3,"dental,vision",
Changes in Your Address,6,6,3,"dental,vision",
Changes in Your Family,6,6,3,"dental,vision",
Changing Your Coverage,6,6,3,"dental,vision",
Deductible,6,6,3,"dental,vision",
Effective Date,6,6,3,"dental,vision",
Entire Contract Changes,6,6,3,"dental,vision",
First Priority Security Interest,6,6,3,"dental,vision",
"Fraud, Waste and Abuse",6,6,3,"dental,vision",
Grace Period,6,6,3,"dental,vision",
Grievance and Appeals Process,6,6,3,"dental,vision",
How to Terminate Your Coverage,6,6,3,"dental,vision",
"If services in a member’s home are billed by a home health care agency, they will not count toward the visit maximums.",6,6,2,ppo_medical,Home Health Care Services
Blood glucose monitors,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Blood glucose monitors for the legally blind,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Insulin pumps,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Test strips for glucose monitors,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Visual reading and urine test strips,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Spring-powered lancet devices,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Syringes,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Medical supplies required for the use of an insulin pump,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Nonexperimental drugs to control blood sugar,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
"Medication prescribed by a podiatric physician, M.D. or D.O. that is used to treat foot ailments, infections and other medical conditions of the foot, ankle or nails associated with diabetes",6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Diabetic specialty shoes,6,6,2,ppo_medical,Outpatient Diabetes Management Program | Outpatient Diabetes Management Program (ODMP)
Specialty drugs obtained from any provider other than exclusive pharmacy network for specialty drug.,6,6,2,ppo_medical,Prescription Drugs
Blue Cross Blue Shield Global Core Program,6,6,3,ppo_medical,
Coinsurance Requirements,6,6,3,"dental,ppo_medical",
Certain drugs that may not be covered based on recommendations from BCBSM,6,6,2,ppo_medical,Prescription Drugs
"Labeled FDA-approved as defined under the amended Food, Drug and Cosmetic Act and",6,6,2,ppo_medical,Prescription Drugs
Used during an inpatient hospital stay or dispensed when part of covered outpatient services,6,6,2,ppo_medical,Prescription Drugs
In a participating freestanding ambulatory surgery facility when directly related to surgery (see,6,6,2,ppo_medical,Prescription Drugs
In a participating freestanding ESRD facility in conjunction with dialysis services (see,6,6,2,ppo_medical,Prescription Drugs
In a participating skilled nursing facility (see,6,6,2,ppo_medical,Prescription Drugs
As part of home health services when services are provided by a participating hospital (see,6,6,2,ppo_medical,Prescription Drugs
When required for infusion therapy (see,6,6,2,ppo_medical,Prescription Drugs
In a participating hospice for the comfort of the member (see,6,6,2,ppo_medical,Prescription Drugs
In a participating residential or outpatient substance abuse treatment facility (see,6,6,2,ppo_medical,Prescription Drugs
By a lab at your physician’s direction.,6,6,2,ppo_medical,Diagnostic Services
The member is receiving skilled nursing care or physical therapy or speech language therapy,6,6,2,ppo_medical,Home Health Care Services
Myodisc,5,4,"2,3",vision,Lenses
Lenticular myodisc,5,4,"2,3",vision,Lenses
Changes to Your Certificate,5,5,3,"dental,vision",
Enforceability of Various Provisions,5,5,3,"dental,vision",
Expedited External Review Process,5,5,3,"dental,vision",
Expedited Internal Review Process,5,5,3,"dental,vision",
Blood tests to evaluate donors (if not covered by the potential donor’s insurance),5,5,2,ppo_medical,Oncology Clinical Trials
Therapy that is performed without a physical therapy treatment,5,5,2,ppo_medical,Physical Therapy
Autism Coverage Requirements,5,5,3,ppo_medical,Autism Spectrum Disorders
Immunizations. We pay for vaccines against infection during the first 24 months after a transplant as recommended by the ACIP (Advisory Committee on Immunization Practices).,5,5,2,ppo_medical,Oncology Clinical Trials
"Non-specialty drugs obtained from out-of-network mail order providers, including Internet providers.",5,5,2,ppo_medical,Prescription Drugs
Specialty drugs dispensed by a participating mail order provider. Specialty drugs may only be obtained from the exclusive pharmacy network for specialty drugs. See specialty drugs within your certificate for more information.,5,5,2,ppo_medical,Prescription Drugs
Specialty drugs obtained outside our exclusive pharmacy network for specialty drugs,5,5,2,ppo_medical,Prescription Drugs
Prescriptions for quantities of 84 through 90 days that are not provided by a 90-Day Retail,5,5,2,ppo_medical,Prescription Drugs
"More than the quantities allowed per prescription of select drugs by BCBSM, unless the prescriber obtains prior authorization from BCBSM. A list of drugs that may have quantity limits is available at the BCBSM website at https://www.bcbsm.com/2026-select-ppo-druglist",5,5,2,ppo_medical,Prescription Drugs
Any drug we think is experimental or investigational.,5,5,2,ppo_medical,Prescription Drugs
State-controlled drugs,5,5,2,ppo_medical,Prescription Drugs
Any covered drug entirely consumed at the time and place of the prescription,5,5,2,ppo_medical,Prescription Drugs
Administration of covered drugs except for select immunization vaccines,5,5,2,ppo_medical,Prescription Drugs
Anything other than covered drugs and services,5,5,2,ppo_medical,Prescription Drugs
Diagnostic agents,5,5,2,ppo_medical,Prescription Drugs
"Drugs that are not labeled “FDA approved,"" except for insulin, or such drugs that BCBSM designates as covered",5,5,2,ppo_medical,Prescription Drugs
Covered drugs or services that are covered under a medical benefit in a BCBSM certificate you have,5,5,2,ppo_medical,Prescription Drugs
"Drugs or services obtained before the effective date of this contract, or after the contract ends",5,5,2,ppo_medical,Prescription Drugs
Claims for covered drugs or services submitted after the applicable time limit for filing claims,5,5,2,ppo_medical,Prescription Drugs
Support garments or other nonmedical items,5,5,2,ppo_medical,Prescription Drugs
Compounded drugs that contain any bulk chemical powders or ingredients that are not approved by BCBSM,5,5,2,ppo_medical,Prescription Drugs
Over the counter drugs unless coverage is required under the Patient Protection and Affordable,5,5,2,ppo_medical,Prescription Drugs
"Prescription drugs with comparable products available over-the-counter, including but not limited to, cough/cold products",5,5,2,ppo_medical,Prescription Drugs
"Lifestyle drugs, such as but not limited to drugs used for weight loss or erectile dysfunction",5,5,2,ppo_medical,Prescription Drugs
Compounded hormones,5,5,2,ppo_medical,Prescription Drugs
Select high abuse drugs,5,5,2,ppo_medical,Prescription Drugs
Dietary supplements,5,5,2,ppo_medical,Prescription Drugs
Drugs newly approved by the FDA until review and coverage determination by BCBSM,5,5,2,ppo_medical,Prescription Drugs
Non-self-administered injectable drugs (except for select immunization vaccines),5,5,2,ppo_medical,Prescription Drugs
Marijuana (cannabis); medical or otherwise,5,5,2,ppo_medical,Prescription Drugs
Injectable/Infused Drugs,5,5,2,ppo_medical,Prescription Drugs
Transplant surgery and related services performed in a nondesignated facility,5,5,2,ppo_medical,Transplant Services
Autologous Oncology Clinical Trials,5,5,3,ppo_medical,Oncology Clinical Trials
Bone Marrow Transplants,5,5,3,ppo_medical,Temporary Benefits | Transplant Services
"Interdisciplinary Evaluation – An interdisciplinary evaluation must occur before a member will be approved for ABA treatment. The interdisciplinary team must include, but is not limited to, a physician, behavior health specialist, and a speech-language specialist. A BCBSM-approved autism evaluation center can perform this evaluation and",5,5,2,ppo_medical,Autism Spectrum Disorders
"Prior Authorization – Autism spectrum disorder services must be authorized by BCBSM before treatment is given. If not, you will have to pay for it. See Section 7 for the definition of autism spectrum disorder services which includes a list of service types that require prior authorization.",5,5,2,ppo_medical,Autism Spectrum Disorders
Transplants or related services rendered at a non-designated cancer center or its affiliate,5,5,2,ppo_medical,Oncology Clinical Trials
Copayment Requirements,5,5,3,"ppo_medical,vision",
History,4,4,2,vision,Eye Exam
Testing of visual acuity,4,4,2,vision,Eye Exam
External exams of the eye,4,4,2,vision,Eye Exam
Binocular measure,4,4,2,vision,Eye Exam
Ophthalmoscopic examinations,4,4,2,vision,Eye Exam
Tonometry (test for glaucoma) when indicated,4,4,2,vision,Eye Exam
"Medication for dilating the pupils and desensitizing the eyes for tonometry, if necessary",4,4,2,vision,Eye Exam
Summary of findings,4,4,2,vision,Eye Exam
"Lenses may be molded or ground, glass or plastic.",4,4,2,vision,Lenses
The lenses may be colorless or have rose tints #1 or #2 if therapeutically necessary. The provider may charge you for additional tinting other than for necessary rose tints #1 or #2.,4,4,2,vision,Lenses
The lens blank of a standard lens must not exceed 60 mm in diameter. The provider may charge you for the difference in cost between standard and oversize lenses.,4,4,2,vision,Lenses
Frames,4,4,1,vision,
Tear test,4,4,2,vision,Contact Lenses
Pupil evaluation,4,4,2,vision,Contact Lenses
They are the only way to correct vision to 20/70 in the better eye or,4,4,2,vision,Contact Lenses
"They are the only effective treatment to correct keratoconus, irregular astigmatism or irregular corneal curvature.",4,4,2,vision,Contact Lenses
Antireflective Lenses,4,3,"2,3",vision,Contact Lenses | Lenses
Broken or Lost Lenses or Frames,4,4,3,vision,Contact Lenses
Coating/Laminating,4,4,3,vision,Contact Lenses
Eligibility,4,4,3,vision,
Experimental and Investigational Treatment,4,4,3,vision,
Experimental or Investigational Services,4,4,3,vision,
Experimental Treatment,4,4,3,vision,
General conditions of Your Contract,4,4,3,vision,
How to Reach VSP,4,4,3,vision,
Emergency dental care is the treatment of accidental injuries within 24 hours of the injury. This is to relieve pain and discomfort. We also pay for follow-up treatment completed within six months of the injury.,4,4,2,ppo_medical,Dental Services
"Inpatient and Outpatient Consultations: If a physician needs help diagnosing or treating a member ’s condition, we pay for inpatient and outpatient consultations. They must be provided by a professional provider who has the skills or knowledge needed for the case.",4,4,2,ppo_medical,Professional Services
Accidental Dental Injury,4,4,3,ppo_medical,Contraceptive Services
Blue Cross Blue Shield Global Core,4,4,3,ppo_medical,
Contraceptive Devices,4,4,3,ppo_medical,
Cosmetic Surgery,4,4,3,ppo_medical,Surgery
Psychiatric care – It includes a psychiatrist’s direct or consulting services. The psychiatrist must be licensed in the state of practice.,4,4,2,ppo_medical,Autism Spectrum Disorders
The member is receiving skilled nursing care or physical therapy or speech language therapy services,4,4,2,ppo_medical,Home Health Care Services
Newborn examination given by a physician other than the anesthesiologist or the attending physician of the birth parent,4,4,2,ppo_medical,Maternity Care
"each visit, including",4,4,2,ppo_medical,BCBSM PPO In-Network Providers
"To avoid out-of-network cost share, obtain your prescribed durable medical equipment and prosthetics, orthotics and medical supplies from an in-network provider. Contact Customer",4,4,2,ppo_medical,Durable Medical Equipment
Billed by the contracted specialty pharmacy provider and administered by a physician,4,4,2,ppo_medical,Prescription Drugs
Certified Nurse Anesthetist (CRNA),4,4,3,ppo_medical,Ambulance Services
Preauthorization,4,4,3,ppo_medical,Prescription Drugs
Contraceptive Mobile App,4,4,2,ppo_medical,Preventive Care Services
"Additional Counseling and Screening Services, including but not limited to",4,4,2,ppo_medical,Preventive Care Services
Genetic counselling and breast cancer genetic testing (BRCA),4,4,2,ppo_medical,Preventive Care Services
Rh(D) incompatibility screening,4,4,2,ppo_medical,Preventive Care Services
Cervical cancer screening,4,4,2,ppo_medical,Preventive Care Services
Sexually transmitted infection screening,4,4,2,ppo_medical,Preventive Care Services
HIV counseling and screening,4,4,2,ppo_medical,Preventive Care Services
Eight visits for children from birth through 12 months,4,4,2,ppo_medical,Preventive Care Services
Six visits for children 13 months through 23 months,4,4,2,ppo_medical,Preventive Care Services
Six visits for children 24 months through 35 months,4,4,2,ppo_medical,Preventive Care Services
Two visits for children 36 months through 47 months,4,4,2,ppo_medical,Preventive Care Services
"Well-child visits after 47 months are limited to one per member, per calendar year under your health maintenance exam benefit.",4,4,2,ppo_medical,Preventive Care Services
We pay for local anesthesia only when needed as part of infusion therapy done in an office.,4,4,2,ppo_medical,Anesthesiology Services
Diagnostic Observation Schedule,4,4,3,ppo_medical,
For bone marrow transplants,4,4,3,ppo_medical,Transplant Services
For oncology clinical trials,4,4,3,ppo_medical,Oncology Clinical Trials
Spectrum Disorders,4,3,3,ppo_medical,Audiologist Services
Diagnostic and preventive services,4,2,"2,3",dental,Class I – Diagnostic and Preventive Services
Class II – Basic Services,4,2,"1,3",dental,Class I – Diagnostic and Preventive Services
Emergency palliative treatment,4,2,"2,3",dental,Class I – Diagnostic and Preventive Services | Class II – Basic Services
One eye exam every 12 months,3,3,2,vision,Frequency
One pair of frames every 12 months,3,3,2,vision,Frequency
"Lenses must be equal in quality to the first-quality lens series made by American Optical, Bausch &",3,3,2,vision,Lenses
The lens blank must meet Z80.1 or Z80.2 standards of the American National Standards Institute.,3,3,2,vision,Lenses
"If only one lens is needed, we pay half the amount we pay per pair.",3,3,2,vision,Lenses
Copayment Amount,3,3,3,vision,
Improper Use of Contract,3,3,3,vision,
In Network Providers - Copayments,3,3,3,vision,
Applied spectrum disorder services including applied behavior analysis (ABA) is covered subject to the following requirements,3,3,2,ppo_medical,Autism Spectrum Disorders
Continuous cycling peritoneal dialysis (limited to 14 dialysis treatments per month) and self-dialysis training with the number of training sessions limited according to Medicare guidelines,3,3,2,ppo_medical,Dialysis Services
Services must be medically necessary . Refer to Section 7 for the definition of “medically necessary.”,3,3,2,ppo_medical,Optometrist Services
Administered by the physician or un der the physician’s supervision,3,3,2,ppo_medical,Prescription Drugs
"Harvesting (including peripheral blood stem cell pheresi s) and storage of the donor’s bone marrow, peripheral blood stem cell and/or umbilical cord blood, if the donor is",3,3,2,ppo_medical,Transplant Services
"Prenatal care, including maternity education provided in a physician’s office as part of a prenatal visit",3,3,2,ppo_medical,Maternity Care
We follow the recommendations of the Advisory Committee on Immunization Practices. We may also follow other sources as known to BCBSM.,3,3,2,ppo_medical,Preventive Care Services
We pay for all other immunizations and preventive care benefits required by PPACA at the time the services are performed.,3,3,2,ppo_medical,Preventive Care Services
Purging and/or positive stem cell selection of bone marrow or peripheral blood stem cells,3,3,2,ppo_medical,Transplant Services
"Drugs, biologicals and solutions used including drugs taken home",3,3,2,ppo_medical,Behavioral Health Services (Mental Health and Substance Use Disorder)
"Any drug or device prescribed for uses or in dosages other than those specifically approved by the Food and Drug Administration. This is often referred to as the off-label use of a drug or device. (However, we will pay for such drugs and the reasonable cost of supplies needed to administer them, if the prescriber can substantiate that the drug is recognized for treatment of the condition for which it was prescribed. See criteria under “Covered Drug” in the “Definition” section.)",3,3,2,ppo_medical,Prescription Drugs
"Physical therapy (Page 86), speech language therapy (Page 121) or occupational therapy (Page 73) when medically necessary",3,3,2,ppo_medical,Skilled Nursing Facility Services
A combined maximum of 30 habilitative and a combined maximum of 30 rehabilitative outpatient visits per member per member per calendar year.,3,3,2,ppo_medical,Physical Therapy
Accidental Injury,3,3,3,"dental,ppo_medical",
"If your physician tells you that you need surgery, you may choose to have a presurgical consultation with another physician. The consulting physician must be an MD, DO, podiatric physician or an oral surgeon. The physician must also be an in-network provider.",3,3,2,ppo_medical,Surgery
Second opinion — a consultation to confirm the need for surgery,3,3,2,ppo_medical,Surgery
Third opinion — allowed if the second opinion differs from the initial proposal for surgery,3,3,2,ppo_medical,Surgery
Nonsurgical opinion — given to determine your medical tolerance for the proposed surgery,3,3,2,ppo_medical,Surgery
Physician's surgical fee,3,3,2,ppo_medical,Surgery
Medical care provided by the surgeon before and after surgery while the member is in the hospital,3,3,2,ppo_medical,Surgery
Visits to the attending physician for the usual care before and after surgery,3,3,2,ppo_medical,Surgery
"Operating room services, including delivery and surgical treatment rooms",3,3,2,ppo_medical,Surgery
Sleep studies and surgeries to diagnose and treat sleep apnea,3,3,2,ppo_medical,Surgery
Sterilization of female reproductive organs and male reproductive organs (whether or not medically necessary),3,3,2,ppo_medical,Surgery
Cosmetic surgery is only payable for,3,3,2,ppo_medical,Surgery
Blepharoplasty of upper lids,3,3,2,ppo_medical,Surgery
Breast reduction,3,3,2,ppo_medical,Surgery
Surgical treatment of male gynecomastia,3,3,2,ppo_medical,Surgery
Panniculectomy,3,3,2,ppo_medical,Surgery
Sleep apnea treatments,3,3,2,ppo_medical,Surgery
Septorhinoplasty,3,3,2,ppo_medical,Surgery
Dental surgery is only payable for,3,3,2,ppo_medical,Surgery
Hospital (inpatient or outpatient),3,3,2,ppo_medical,Surgery
90-Day Retail Pharmacy,3,3,3,ppo_medical,
definition,3,3,3,ppo_medical,
Allogeneic,3,3,3,ppo_medical,Temporary Benefits | Transplant Services
Department of Insurance and Financial Services (DIFS),3,3,3,"dental,vision",
Improper Use,3,3,3,"dental,vision",
In-Network Provider,3,2,3,vision,
Member,3,3,3,"dental,vision",
Fluoride treatments,3,2,"2,3",dental,Class I – Diagnostic and Preventive Services
Adjunctive general services,3,2,"2,3",dental,Class II – Basic Services
Major restorative services,3,2,"2,3",dental,Class II – Basic Services | Class III – Major Services
How We Terminate Your Coverage,3,3,3,"dental,vision",
Information About Your Bill,3,3,3,"dental,vision",
Lien,3,3,3,"dental,vision",
One pair of lenses or contact lenses every 12 months,2,2,2,vision,Frequency
Paid Under Other Certificates,2,2,3,vision,
(DIFS),2,2,3,vision,
In- Network Provider,2,2,3,vision,
"Physical therapy (Page 83), speech language therapy (Page 116) or occupational therapy (Page 71) when medically necessary",2,2,2,ppo_medical,Skilled Nursing Facility Services
"More than a 30-day supply of a covered drug unless dispensed by an In-Network Retail 90 pharmacy or In-Network Mail Order pharmacy. We may make exceptions for drugs whose minimal package size prevents a 30-day supply from being dispensed (e.g., inhalers)",2,2,2,ppo_medical,Prescription Drugs
Covered Drugs,2,2,3,ppo_medical,
