benefit_name,topic_ids,tree_paths
Evaluation and management for inpatient neonatal critical care,12733,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/INPATIENT MEDICAL CARE/NEONATAL AND PEDIATRIC CRTICAL CARE SERVICES/INPATIENT NEONATAL CRITICAL CARE
Evaluation and management for inpatient pediatric critical care,61289,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/INPATIENT MEDICAL CARE/NEONATAL AND PEDIATRIC CRTICAL CARE SERVICES/INPATIENT PEDIATRIC CRITICAL CARE
Evaluation and management for nursing facility services,12734,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/INPATIENT MEDICAL CARE/EVALUATION AND MANAGEMENT FOR NURSING FACILITY SERVICES
Evaluation and management for office or other outpatient services,12727,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/OFFICE, OUTPATIENT AND HOME MEDICAL CARE VISITS/OFFICE OR OTHER OUTPATIENT SERVICES"
Evaluation and management for patient transport,60191,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/INPATIENT MEDICAL CARE/PATIENT TRANSPORT
Evaluation and management for prolonged services,12737,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/INPATIENT MEDICAL CARE/PROLONGED SERVICES
Evaluative and Therapeutic Services for Special Otorhinolaryngologic Service,61281,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIAGNOSTIC SERVICES/OTORHINOLARYNGOLOGIC SERVICES/EVALUATIVE AND THERAPEUTIC SERVICES FOR SPECIAL OTORHINOLARYNGOLOGIC SERVICE
Evocative-suppression laboratory testing,12891,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PATHOLOGY AND LABORATORY/EVOCATIVE-SUPPRESSION LABORATORY TESTING
Evoked Potentials and Reflex Tests,81323,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIAGNOSTIC SERVICES/NEUROLOGY AND NEUROMUSCULAR PROCEDURES/EVOKED POTENTIALS AND REFLEX TESTS
Excision,"17380,18176,18185,18181,16052,16044,16065,16024,16036,16001,16058,16042,16068,16047,16016,16031,16007,60272,60271,17191,17194,17203,17200,17186,17182,15929,15923,13326,17053,17047,17063,60312,17061,17058,17050,17055,60314,15969,59749,13739,13752,13720,13726,13689,13713,13745,13694,13732,13706,13697,17473,15127,15129,15138,15120,16750,16737,16744,16760",/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/MATERNITY CARE/CARE AND DELIVERY/EXCISION | /PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/AUDITORY SYSTEM/EXTERNAL EAR/EXCISION
Excision - Benign Lesions,13293,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/INTEGUMENTARY SYSTEM/SKIN, SUBCUTANEOUS AND ACCESSORY STRUCTURES/EXCISION - BENIGN LESIONS"
Excision - Debridement,13288,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/INTEGUMENTARY SYSTEM/SKIN, SUBCUTANEOUS AND ACCESSORY STRUCTURES/EXCISION - DEBRIDEMENT"
Excision - Malignant Lesions,13294,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/INTEGUMENTARY SYSTEM/SKIN, SUBCUTANEOUS AND ACCESSORY STRUCTURES/EXCISION - MALIGNANT LESIONS"
Excision and/or Destruction,17924,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/EYE AND OCULAR ADNEXA/CONJUNCTIVA/EXCISION AND/OR DESTRUCTION
Excision by Laminectomy of Lesion Other Than Herni,17462,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/NERVOUS SYSTEM/SPINE AND SPINAL CORD/EXCISION BY LAMINECTOMY OF LESION OTHER THAN HERNI
Excision of the musculoskeletal system,13684,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/GENERAL/EXCISION
"Excision, Anterior or Anterolateral Approach, Intr",17463,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/NERVOUS SYSTEM/SPINE AND SPINAL CORD/EXCISION, ANTERIOR OR ANTEROLATERAL APPROACH, INTR"
"Excision, Destruction","16072,16011,16013,16020,16004","/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/DIGESTIVE SYSTEM/ABDOMEN, PERITONEUM, AND OMENTUM/EXCISION, DESTRUCTION | /PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/DIGESTIVE SYSTEM/DENTOALVEOLAR STRUCTURES/EXCISION, DESTRUCTION"
Exploration,59738,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/SPINE (VERTEBRAL COLUMN)/EXPLORATION
Exploration / Revision,15424,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/CARDIOVASCULAR SYSTEM/ADJUVANT TECHNIQUES/EXPLORATION / REVISION
External Ear,18171,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/AUDITORY SYSTEM/EXTERNAL EAR
External Power,23012,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PROSTHETICS AND ORTHOTICS/PROSTHETIC DEVICE/EXTERNAL POWER
External Urinary Supplies,20963,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/MEDICAL AND SURGICAL SUPPLIES/EXTERNAL URINARY SUPPLIES
"Extracranial Nerves, Peripheral Nerves and Autono",17442,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/NERVOUS SYSTEM/EXTRACRANIAL NERVES, PERIPHERAL NERVES AND AUTONO"
Extraocular Muscles,17920,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/EYE AND OCULAR ADNEXA/OCULAR ADNEXA/EXTRAOCULAR MUSCLES
Extremities,18675,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/RADIOLOGY/DIAGNOSTIC RADIOLOGY/ULTRASOUND/EXTREMITIES
Extremity Arterial Studies (Including Digits),20496,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIAGNOSTIC SERVICES/NON-INVASIVE VASCULAR DIAGNOSTIC STUDIES/EXTREMITY ARTERIAL STUDIES (INCLUDING DIGITS)
Extremity arterial-venous studies,52701,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIAGNOSTIC SERVICES/NON-INVASIVE VASCULAR DIAGNOSTIC STUDIES/EXTREMITY ARTERIAL-VENOUS STUDIES
Extremity Venous Studies (Including Digits),20497,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIAGNOSTIC SERVICES/NON-INVASIVE VASCULAR DIAGNOSTIC STUDIES/EXTREMITY VENOUS STUDIES (INCLUDING DIGITS)
Eye and ocular adnexa surgery and anesthesia,12865,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/EYE AND OCULAR ADNEXA
Eyeball,17903,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/EYE AND OCULAR ADNEXA/EYEBALL
Eyeglass frames,12946,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PROSTHETICS AND ORTHOTICS/PROSTHETIC DEVICE/SPECTACLE LENSES/EYEGLASS FRAMES
Eyelid repair,2016784,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/COSMETIC AND RECONSTRUCTIVE SURGERY PROCEDURES/RECONSTRUCTIVE PROCEDURES/EYELID REPAIR
Eyelids,17922,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/EYE AND OCULAR ADNEXA/OCULAR ADNEXA/EYELIDS
Facility,52761,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY
Facility charges for adult care,63211,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/MISCELLANEOUS/FACILITY CHARGES FOR ADULT CARE
Facility charges for chest x-ray,60473,/PRODUCTION/SERVICES AND PROCEDURES/MARK-UP TOPICS ONLY/FACILITY CHARGES FOR CHEST X-RAY
Facility charges for CT scans,52394,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/RADIOLOGY/FACILITY CHARGES FOR CT SCANS
Facility charges for dressings,60572,/PRODUCTION/SERVICES AND PROCEDURES/MARK-UP TOPICS ONLY/FACILITY CHARGES FOR DRESSINGS
Facility charges for miscellaneous dialysis,60545,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR MISCELLANEOUS DIALYSIS
Facility charges for other diagnostic radiology imaging services,12887,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/RADIOLOGY/FACILITY CHARGES FOR OTHER DIAGNOSTIC RADIOLOGY IMAGING SERVICES
Facility charges for outpatient or home continuous ambulatory peritoneal dialysis,12759,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS AMBULATORY PERITONEAL DIALYSIS
Facility charges for outpatient or home continuous cycling peritoneal dialysis,12760,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME CONTINUOUS CYCLING PERITONEAL DIALYSIS
Facility charges for outpatient or home hemodialysis,12757,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME HEMODIALYSIS
Facility charges for outpatient or home peritoneal dialysis,12758,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/DIALYSIS/FACILITY CHARGES FOR OUTPATIENT OR HOME PERITONEAL DIALYSIS
Facility charges for patient convenience items during stay,12925,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/PATIENT CONVENIENCE ITEMS"
Facility charges for therapeutic radiology services,24026,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/RADIOLOGY/FACILITY CHARGES FOR THERAPEUTIC RADIOLOGY SERVICES
Facility charges for x-rays,60222,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/RADIOLOGY/FACILITY CHARGES FOR X-RAYS
Facility Outpatient Prospective Payment System,61295,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/FACILITY OUTPATIENT PROSPECTIVE PAYMENT SYSTEM
Facility special charges,23766,"/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/ROOM, BOARD AND NURSING CHARGES/FACILITY SPECIAL CHARGES"
Family Building Program,2414456,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/MATERNITY AND FAMILY EDUCATION/FAMILY BUILDING PROGRAM
Family planning services,60425,/PRODUCTION/SERVICES AND PROCEDURES/MARK-UP TOPICS ONLY/FAMILY PLANNING SERVICES
Family psychotherapy,52445,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PSYCHIATRIC SERVICES/FAMILY PSYCHOTHERAPY
Federally qualified health center,2326783,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/MISCELLANEOUS/FEDERALLY QUALIFIED HEALTH CENTER
Female,2317480,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/STERILIZATION/FEMALE
Female genital system surgery and anesthesia,12861,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/FEMALE GENITAL SYSTEM
Femur (Thigh Region) and Knee Joint,13677,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/FEMUR (THIGH REGION) AND KNEE JOINT
FEVAR Endograft Planning,2328180,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/CARDIOVASCULAR SYSTEM/HEART AND PERICARDIUM/FEVAR ENDOGRAFT PLANNING
Fixed partial pontics,66616,/PRODUCTION/SERVICES AND PROCEDURES/DENTAL/ALVEOPLASTY/DENTAL PROSTHODONTICS/FIXED/FIXED PARTIAL DENTURES PONTICS
Fixed prosthodontics,66615,/PRODUCTION/SERVICES AND PROCEDURES/DENTAL/ALVEOPLASTY/DENTAL PROSTHODONTICS/FIXED
Fixed retainers - crown,66618,/PRODUCTION/SERVICES AND PROCEDURES/DENTAL/ALVEOPLASTY/DENTAL PROSTHODONTICS/FIXED/FIXED PARTIAL DENTURE RETAINERS - CROWN
Fixed retainers inlay/onlay,66617,/PRODUCTION/SERVICES AND PROCEDURES/DENTAL/ALVEOPLASTY/DENTAL PROSTHODONTICS/FIXED/FIXED PARTIAL DENTURES RETAINERS INLAY/ONLAY
Flaps (Skin and/or Deep Tissues),13316,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/INTEGUMENTARY SYSTEM/REPAIR (CLOSURE)/FLAPS (SKIN AND/OR DEEP TISSUES)
Flexible sigmoidoscopy,52662,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PREVENTIVE SERVICES/SURGERY/FLEXIBLE SIGMOIDOSCOPY
Fluoroscopic Guidance,88033,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/RADIOLOGY/DIAGNOSTIC RADIOLOGY/RADIOLOGIC GUIDANCE/FLUOROSCOPIC GUIDANCE
Follow-up Inpatient Consultations,20796,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/CONSULTATIONS/FOLLOW-UP INPATIENT CONSULTATIONS
Foot and Toes,13679,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/FOOT AND TOES
Foot care services,62594,/PRODUCTION/SERVICES AND PROCEDURES/MARK-UP TOPICS ONLY/FOOT CARE SERVICES
Forearm and Wrist,13674,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/FOREARM AND WRIST
"Forearm, Wrist, and Hand",13040,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/ANESTHESIA/FOREARM, WRIST, AND HAND"
Forehead reconstruction,2016782,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/COSMETIC AND RECONSTRUCTIVE SURGERY PROCEDURES/RECONSTRUCTIVE PROCEDURES/FOREHEAD RECONSTRUCTION
Fracture and/or Dislocation,"13742,13755,13723,13728,13692,13716,13747,13696,13735,13709,13699",/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/FEMUR (THIGH REGION) AND KNEE JOINT/FRACTURE AND/OR DISLOCATION | /PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/FOOT AND TOES/FRACTURE AND/OR DISLOCATION
Free Skin Grafts,13315,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/INTEGUMENTARY SYSTEM/REPAIR (CLOSURE)/FREE SKIN GRAFTS
Freestanding clinic charges,23883,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/OUTPATIENT HOSPITAL/OUTPATIENT CLINIC/FREESTANDING CLINIC CHARGES
Full mouth,89773,/PRODUCTION/SERVICES AND PROCEDURES/DENTAL/BASIC/DENTAL RADIOGRAPHS/FULL MOUTH
Functional Brain Mapping,87932,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIAGNOSTIC SERVICES/NEUROLOGY AND NEUROMUSCULAR PROCEDURES/FUNCTIONAL BRAIN MAPPING
Gastoenterology,52604,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/INPATIENT HOSPITAL/GASTOENTEROLOGY
Gastric Physiology,20287,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIAGNOSTIC SERVICES/GASTROENTEROLOGY/PROFESSIONAL SERVICES/GASTRIC PHYSIOLOGY
Gastric surgeries,63163,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/DIGESTIVE SYSTEM/GASTRIC SURGERIES
Gastroenterology,12762,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIAGNOSTIC SERVICES/GASTROENTEROLOGY
Gastrointestinal System,18789,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/RADIOLOGY/NUCLEAR MEDICINE/DIAGNOSTIC/GASTROINTESTINAL SYSTEM
General,"23013,60288",/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PROSTHETICS AND ORTHOTICS/PROSTHETIC DEVICE/GENERAL | /PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/HEMIC AND LYMPHATIC SYSTEM/GENERAL
General musculoskeletal surgical procedures,13667,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/GENERAL
General ophthalmological services,20289,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/OFFICE, OUTPATIENT AND HOME MEDICAL CARE VISITS/OFFICE OR OTHER OUTPATIENT SERVICES/GENERAL OPHTHALMOLOGICAL SERVICES"
General surgical procedures,52915,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/GENERAL
Genetic Counseling,2322185,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/NHCR/PPACA/GENETIC COUNSELING
Genitalia,18674,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/RADIOLOGY/DIAGNOSTIC RADIOLOGY/ULTRASOUND/GENITALIA
Genitourinary System,18794,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/RADIOLOGY/NUCLEAR MEDICINE/DIAGNOSTIC/GENITOURINARY SYSTEM
Genomic Sequencing Procedures (GSPs) and Other Molecular Multianalyte Assays,2328022,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PATHOLOGY AND LABORATORY/GENOMIC SEQUENCING PROCEDURES (GSPS) AND OTHER MOLECULAR MULTIANALYTE ASSAYS
Glaucoma Screening,2321021,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/NHCR/PPACA/DIAGNOSTIC SERVICES/GLAUCOMA SCREENING
Glucose,2321074,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/NHCR/PPACA/PATHOLOGY & LABORATORY/GLUCOSE
Gonorrhea Screening,2320975,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/NHCR/PPACA/PATHOLOGY & LABORATORY/GONORRHEA SCREENING
Grafts (or Implants),13687,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/GENERAL/GRAFTS (OR IMPLANTS)
Ground mileage,60436,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/AMBULANCE/EMERGENCY AMBULANCE SERVICES/GROUND MILEAGE
Group psychotherapy,52444,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PSYCHIATRIC SERVICES/GROUP PSYCHOTHERAPY
Growth Hormone,81184,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/INJECTIONS AND INFUSIONS/INJECTABLE DRUGS/GROWTH HORMONE
Guided Self Management,88075,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/BLUE HEALTH CONNECT/GUIDED SELF MANAGEMENT
Guided tissue regeneration,61336,/PRODUCTION/SERVICES AND PROCEDURES/DENTAL II/GUIDED TISSUE REGENERATION
Gynecological exam,52647,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PREVENTIVE SERVICES/EVALUATION AND MANAGEMENT - HEALTH MAINTENANCE EXAM OR GYNECOLOGICAL EXAM/GYNECOLOGICAL EXAM
Hair prostheses,52596,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PROSTHETICS AND ORTHOTICS/PROSTHETIC DEVICE/HAIR PROSTHESES
Halo Procedure,22565,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PROSTHETICS AND ORTHOTICS/ORTHOTIC DEVICE/HALO PROCEDURE
Hand and Fingers,13675,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/HAND AND FINGERS
Harvesting and storing bone marrow,52639,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/TRANSPLANTATION/BASIC ORGAN/BONE MARROW/HARVESTING AND STORING BONE MARROW
Head,13026,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/ANESTHESIA/HEAD
Head and Neck,18670,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/RADIOLOGY/DIAGNOSTIC RADIOLOGY/ULTRASOUND/HEAD AND NECK
Head Prosthesis,2006653,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/MUSCULOSKELETAL SYSTEM/HEAD/HEAD PROSTHESIS
Health and behavior assessments - with Autism,52241,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/OFFICE, OUTPATIENT AND HOME MEDICAL CARE VISITS/HEALTH AND BEHAVIOR ASSESSMENTS"
Health and behavior assessments - without Autism,2382898,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/OFFICE, OUTPATIENT AND HOME MEDICAL CARE VISITS/HEALTH AND BEHAVIOR ASSESSMENTS (WITHOUT AUTISM)"
Hearing,12724,/PRODUCTION/SERVICES AND PROCEDURES/HEARING
Hearing aid dispensing fee,68374,/PRODUCTION/SERVICES AND PROCEDURES/HEARING/HEARING AIDS/DISPENSING FEE
Hearing aid evaluation test,52781,/PRODUCTION/SERVICES AND PROCEDURES/HEARING/EXAMINATION/EVALUATION/HEARING AID EVALUATION TEST
Hearing aid services,60061,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIAGNOSTIC SERVICES/OTORHINOLARYNGOLOGIC SERVICES/AUDIOLOGIC FUNCTION TESTS WITH MEDICAL DIAGNOSTIC /HEARING AID SERVICES
Hearing examination/evaluation,60448,/PRODUCTION/SERVICES AND PROCEDURES/HEARING/EXAMINATION/EVALUATION
Hearing Screening,2317281,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/NHCR/PPACA/DIAGNOSTIC SERVICES/HEARING SCREENING
Heart tranplantation,12835,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/TRANSPLANTATION/SPECIFIED ORGAN/HEART
Heart/Lung Transplantation,15410,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/CARDIOVASCULAR SYSTEM/HEART AND PERICARDIUM/HEART/LUNG TRANSPLANTATION
Heat or cold applications,2327427,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DURABLE MEDICAL EQUIPMENT/CAPPED RENTAL DME/HEAT OR COLD APPLICATIONS
Heat/Cold Application,21401,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DURABLE MEDICAL EQUIPMENT/HEAT/COLD APPLICATION
Heavy Duty,2327438,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DURABLE MEDICAL EQUIPMENT/CAPPED RENTAL DME/WHEELCHAIRS/HEAVY DUTY
Hematology and coagulation laboratory testing,12895,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PATHOLOGY AND LABORATORY/HEMATOLOGY AND COAGULATION LABORATORY TESTING
"Hematopoietic, Reticuloendothelial and Lymphatic",18788,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/RADIOLOGY/NUCLEAR MEDICINE/DIAGNOSTIC/HEMATOPOIETIC, RETICULOENDOTHELIAL AND LYMPHATIC"
Hemic and lymphatic system surgery and anesthesia,12855,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/HEMIC AND LYMPHATIC SYSTEM
Hemodialysis,"60355,67748",/PRODUCTION/SERVICES AND PROCEDURES/MARK-UP TOPICS ONLY/HEMODIALYSIS | /PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/DIALYSIS SERVICES/HEMODIALYSIS
"Hemodialysis Access, Intervascular Cannulation for Extracorporeal Circulation, or Shunt Insertion",15429,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/SURGICAL PROCEDURES/CARDIOVASCULAR SYSTEM/ADJUVANT TECHNIQUES/HEMODIALYSIS ACCESS, INTERVASCULAR CANNULATION FOR EXTRACORPOREAL CIRCULATION, OR SHUNT INSERTION"
Hemoglobin,2321075,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/NHCR/PPACA/PATHOLOGY & LABORATORY/HEMOGLOBIN
Hemophilia Products,2010057,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/HEMOPHILIA PRODUCTS
Hepatitis B Screening,2320977,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/NHCR/PPACA/PATHOLOGY & LABORATORY/HEPATITIS B SCREENING
Hepatitis C,2328725,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PREVENTIVE SERVICES/LABORATORY/HEPATITIS C
Hepatitis C Screening,2320978,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/NHCR/PPACA/PATHOLOGY & LABORATORY/HEPATITIS C SCREENING
Heritable Disorders,2021441,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/NHCR/PPACA/PATHOLOGY & LABORATORY/HERITABLE DISORDERS
High dose chemotherapy,52784,/PRODUCTION/SERVICES AND PROCEDURES/MARK-UP TOPICS ONLY/HIGH DOSE CHEMOTHERAPY
HIV Testing,63123,/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/PREVENTIVE SERVICES/LABORATORY SERVICES/HIV TESTING
HLA genetic markers,12967,/PRODUCTION/SERVICES AND PROCEDURES/SURGERY AND ANESTHESIA/SURGICAL PROCEDURES/TRANSPLANTATION/BASIC ORGAN/BONE MARROW/BONE MARROW TRANSPLANT DONOR/HLA GENETIC MARKERS
Home Health Aide (Home Health),60550,/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/HOME HEALTH CARE/HOME HEALTH AIDE (HOME HEALTH)
Home health care,"68213,23953","/PRODUCTION/SERVICES AND PROCEDURES/FACILITY/HOME HEALTH CARE | /PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/OFFICE, OUTPATIENT AND HOME MEDICAL CARE VISITS/HOME HEALTH CARE"
Home Health Procedures/Services,60327,"/PRODUCTION/SERVICES AND PROCEDURES/PROFESSIONAL/OFFICE, OUTPATIENT AND HOME MEDICAL CARE VISITS/HOME HEALTH CARE/PROFESSIONAL CHARGES/HOME HEALTH PROCEDURES/SERVICES"
